folder_number,sequence_origin,primers_origin,taxonomy_level,selected_primer,test_size
0,DairyDB,DairyDB,5,V4,0.2
1,DairyDB,DairyDB,0,V1,0.2
2,DairyDB,DairyDB,0,V2,0.2
3,DairyDB,DairyDB,0,V3,0.2
4,DairyDB,DairyDB,0,V4,0.2
5,DairyDB,DairyDB,0,V5,0.2
6,DairyDB,DairyDB,0,V6,0.2
7,DairyDB,DairyDB,0,V7,0.2
8,DairyDB,DairyDB,0,V8,0.2
9,DairyDB,DairyDB,0,V9,0.2
10,DairyDB,DairyDB,0,V12,0.2
11,DairyDB,DairyDB,0,V23,0.2
12,DairyDB,DairyDB,0,V34,0.2
13,DairyDB,DairyDB,0,V45,0.2
14,DairyDB,DairyDB,0,V56,0.2
15,DairyDB,DairyDB,0,V67,0.2
16,DairyDB,DairyDB,0,V78,0.2
17,DairyDB,DairyDB,0,V89,0.2
18,DairyDB,DairyDB,0,sequence,0.2
19,DairyDB,DairyDB,1,V1,0.2
20,DairyDB,DairyDB,1,V2,0.2
21,DairyDB,DairyDB,1,V3,0.2
22,DairyDB,DairyDB,1,V4,0.2
23,DairyDB,DairyDB,1,V5,0.2
24,DairyDB,DairyDB,1,V6,0.2
25,DairyDB,DairyDB,1,V7,0.2
26,DairyDB,DairyDB,1,V8,0.2
27,DairyDB,DairyDB,1,V9,0.2
28,DairyDB,DairyDB,1,V12,0.2
29,DairyDB,DairyDB,1,V23,0.2
30,DairyDB,DairyDB,1,V34,0.2
31,DairyDB,DairyDB,1,V45,0.2
32,DairyDB,DairyDB,1,V56,0.2
33,DairyDB,DairyDB,1,V67,0.2
34,DairyDB,DairyDB,1,V78,0.2
35,DairyDB,DairyDB,1,V89,0.2
36,DairyDB,DairyDB,1,sequence,0.2
37,DairyDB,DairyDB,2,V1,0.2
38,DairyDB,DairyDB,2,V2,0.2
39,DairyDB,DairyDB,2,V3,0.2
40,DairyDB,DairyDB,2,V4,0.2
41,DairyDB,DairyDB,2,V5,0.2
42,DairyDB,DairyDB,2,V6,0.2
43,DairyDB,DairyDB,2,V7,0.2
44,DairyDB,DairyDB,2,V8,0.2
45,DairyDB,DairyDB,2,V9,0.2
46,DairyDB,DairyDB,2,V12,0.2
47,DairyDB,DairyDB,2,V23,0.2
48,DairyDB,DairyDB,2,V34,0.2
49,DairyDB,DairyDB,2,V45,0.2
50,DairyDB,DairyDB,2,V56,0.2
51,DairyDB,DairyDB,2,V67,0.2
52,DairyDB,DairyDB,2,V78,0.2
53,DairyDB,DairyDB,2,V89,0.2
54,DairyDB,DairyDB,2,sequence,0.2
55,DairyDB,DairyDB,3,V1,0.2
56,DairyDB,DairyDB,3,V2,0.2
57,DairyDB,DairyDB,3,V3,0.2
58,DairyDB,DairyDB,3,V4,0.2
59,DairyDB,DairyDB,3,V5,0.2
60,DairyDB,DairyDB,3,V6,0.2
61,DairyDB,DairyDB,3,V7,0.2
62,DairyDB,DairyDB,3,V8,0.2
63,DairyDB,DairyDB,3,V9,0.2
64,DairyDB,DairyDB,3,V12,0.2
65,DairyDB,DairyDB,3,V23,0.2
66,DairyDB,DairyDB,3,V34,0.2
67,DairyDB,DairyDB,3,V45,0.2
68,DairyDB,DairyDB,3,V56,0.2
69,DairyDB,DairyDB,3,V67,0.2
70,DairyDB,DairyDB,3,V78,0.2
71,DairyDB,DairyDB,3,V89,0.2
72,DairyDB,DairyDB,3,sequence,0.2
73,DairyDB,DairyDB,4,V1,0.2
74,DairyDB,DairyDB,4,V2,0.2
75,DairyDB,DairyDB,4,V3,0.2
76,DairyDB,DairyDB,4,V4,0.2
77,DairyDB,DairyDB,4,V5,0.2
78,DairyDB,DairyDB,4,V6,0.2
79,DairyDB,DairyDB,4,V7,0.2
80,DairyDB,DairyDB,4,V8,0.2
81,DairyDB,DairyDB,4,V9,0.2
82,DairyDB,DairyDB,4,V12,0.2
83,DairyDB,DairyDB,4,V23,0.2
84,DairyDB,DairyDB,4,V34,0.2
85,DairyDB,DairyDB,4,V45,0.2
86,DairyDB,DairyDB,4,V56,0.2
87,DairyDB,DairyDB,4,V67,0.2
88,DairyDB,DairyDB,4,V78,0.2
89,DairyDB,DairyDB,4,V89,0.2
90,DairyDB,DairyDB,4,sequence,0.2
91,DairyDB,DairyDB,5,V1,0.2
92,DairyDB,DairyDB,5,V2,0.2
93,DairyDB,DairyDB,5,V3,0.2
94,DairyDB,DairyDB,5,V5,0.2
95,DairyDB,DairyDB,5,V6,0.2
96,DairyDB,DairyDB,5,V7,0.2
97,DairyDB,DairyDB,5,V8,0.2
98,DairyDB,DairyDB,5,V9,0.2
99,DairyDB,DairyDB,5,V12,0.2
100,DairyDB,DairyDB,5,V23,0.2
101,DairyDB,DairyDB,5,V34,0.2
102,DairyDB,DairyDB,5,V45,0.2
103,DairyDB,DairyDB,5,V56,0.2
104,DairyDB,DairyDB,5,V67,0.2
105,DairyDB,DairyDB,5,V78,0.2
106,DairyDB,DairyDB,5,V89,0.2
107,DairyDB,DairyDB,5,sequence,0.2
108,DairyDB,DairyDB,6,V1,0.2
109,DairyDB,DairyDB,6,V2,0.2
110,DairyDB,DairyDB,6,V3,0.2
111,DairyDB,DairyDB,6,V4,0.2
112,DairyDB,DairyDB,6,V5,0.2
113,DairyDB,DairyDB,6,V6,0.2
114,DairyDB,DairyDB,6,V7,0.2
115,DairyDB,DairyDB,6,V8,0.2
116,DairyDB,DairyDB,6,V9,0.2
117,DairyDB,DairyDB,6,V12,0.2
118,DairyDB,DairyDB,6,V23,0.2
119,DairyDB,DairyDB,6,V34,0.2
120,DairyDB,DairyDB,6,V45,0.2
121,DairyDB,DairyDB,6,V56,0.2
122,DairyDB,DairyDB,6,V67,0.2
123,DairyDB,DairyDB,6,V78,0.2
124,DairyDB,DairyDB,6,V89,0.2
125,DairyDB,DairyDB,6,sequence,0.2
126,DairyDB,Chaudhary,0,V1,0.2
