sequence_origin,primers_origin,selected_primer,taxonomy_level,out_channel_1,out_channel_2,kernel_size_1,max_pool_stride_1,max_pool_stride_2,ratio_fc_1,n_epochs,learning_rate,accuracy
DairyDB,DairyDB,V4,1,6,13,3,8,8,0.3333333333333333,50,0.001,0.9686170212765958
DairyDB,DairyDB,V4,1,13,26,7,8,8,0.5,50,0.001,0.9702127659574468
DairyDB,DairyDB,V4,1,19,38,15,8,8,0.5,50,0.001,0.9680851063829788
DairyDB,DairyDB,V4,1,32,64,20,8,8,0.6666666666666666,50,0.001,0.9707446808510638
DairyDB,DairyDB,V4,1,45,90,30,8,8,0.75,50,0.001,0.9638297872340426
DairyDB,DairyDB,V4,1,32,64,4,8,8,0.6666666666666666,50,0.001,0.9617021276595744
DairyDB,DairyDB,V4,1,32,64,6,8,8,0.6666666666666666,50,0.001,0.9723404255319148
DairyDB,DairyDB,V4,1,32,64,8,8,8,0.6666666666666666,50,0.001,0.9617021276595744
DairyDB,DairyDB,V4,1,32,64,10,8,8,0.6666666666666666,50,0.001,0.9659574468085106
DairyDB,DairyDB,V4,1,32,64,12,8,8,0.6666666666666666,50,0.001,0.9648936170212766
DairyDB,DairyDB,V4,1,32,64,14,8,8,0.6666666666666666,50,0.001,0.9611702127659576
DairyDB,DairyDB,V4,1,32,64,16,8,8,0.6666666666666666,50,0.001,0.9590425531914892
DairyDB,DairyDB,V4,1,32,64,18,8,8,0.6666666666666666,50,0.001,0.9686170212765958
DairyDB,DairyDB,V4,1,32,64,20,8,8,0.6666666666666666,50,0.001,0.9702127659574468
DairyDB,DairyDB,V4,1,32,64,22,8,8,0.6666666666666666,50,0.001,0.9670212765957448
DairyDB,DairyDB,V4,1,32,64,24,8,8,0.6666666666666666,50,0.001,0.9707446808510638
DairyDB,DairyDB,V4,1,32,64,26,8,8,0.6666666666666666,50,0.001,0.9702127659574468
DairyDB,DairyDB,V4,1,32,64,28,8,8,0.6666666666666666,50,0.001,0.9702127659574468
DairyDB,DairyDB,V4,1,32,64,30,8,8,0.6666666666666666,50,0.001,0.9638297872340426
,DairyDB,V4,1,32,64,6,8,8,0.6666666666666666,50,0.001,0.9877071084981294
