HyperVariable Region,Taxonomy Rank to be classified,Test Size,Main Class prop,XGBoost - XGB(1)
V1,0,470,1.0,1.0
V2,0,1222,1.0,1.0
V3,0,1798,1.0,1.0
V4,0,1943,0.9896784438269154,0.9922799794132784
V5,0,1778,1.0,1.0
V6,0,1753,1.0,1.0
V7,0,1926,1.0,1.0
V8,0,1544,1.0,1.0
V9,0,575,0.989609310058188,0.9982608695652174
V12,0,750,1.0,1.0
V23,0,1142,1.0,1.0
V34,0,1882,1.0,1.0
V45,0,1780,1.0,1.0
V56,0,1857,0.9994612068965516,0.9994614970382336
V67,0,1830,1.0,1.0
V1,0,470,1.0,1.0
V1,0,470,1.0,1.0
V2,0,1222,1.0,1.0
V3,0,1798,1.0,1.0
V4,0,1943,0.9896784438269154,0.9922799794132784
V5,0,1778,1.0,1.0
V6,0,1753,1.0,1.0
V1,0,470,1.0,1.0
V2,0,1222,1.0,1.0
V3,0,1798,1.0,1.0
V4,0,1943,0.9896784438269154,0.9922799794132784
V5,0,1778,1.0,1.0
V6,0,1753,1.0,1.0
V7,0,1926,1.0,1.0
V8,0,1544,1.0,1.0
V9,0,575,0.989609310058188,0.9982608695652174
V12,0,750,1.0,1.0
V23,0,1142,1.0,1.0
V34,0,1882,1.0,1.0
V45,0,1780,1.0,1.0
V56,0,1857,0.9994612068965516,0.9994614970382336
V67,0,1830,1.0,1.0
V78,0,1628,0.9940975458216836,0.993857493857494
V89,0,597,1.0,1.0
sequence,0,2072,0.9900204400625224,0.988899613899614
V1,1,462,0.5759162303664922,0.6818181818181819
V2,1,1148,0.5080906148867314,0.7831010452961673
V3,1,1756,0.4035316254161239,0.7722095671981777
V4,1,1880,0.391994750656168,0.6319148936170214
V5,1,1855,0.4167866397926864,0.6770889487870619
V6,1,1812,0.4149203688181056,0.6506622516556291
V7,1,1857,0.4008875739644969,0.6106623586429725
V8,1,1622,0.3979133226324237,0.6189889025893958
V9,1,593,0.3844221105527638,0.718381112984823
V12,1,735,0.4385474860335196,0.5591836734693878
V23,1,1173,0.5296703296703297,0.7749360613810742
V34,1,1790,0.3876374363100027,0.6938547486033521
V45,1,1734,0.4137358072556079,0.6568627450980392
